city,party,leader,tweet,tweet_time
lisburn,Conservative-Party,,"Harsh reality here - the DUP mean the square root of fuck all to the Conservative party, they were only allies last… https://t.co/lSqvu2XORj",Wed Nov 27 22:40:54 +0000 2019
lisburn,Conservative-Party,,RT @GaryHynds: We are Stronger Together. This is a fundamental principle upon which the Conservative and Unionist Party operate within Nort…,Tue Nov 26 17:49:08 +0000 2019
lisburn,Conservative-Party,,"@Lesqueenb Vote Conservative.
Vote Boris.
SAVE
Our Beloved
United Kingdom of Great Britain, Northern Ireland and Ov… https://t.co/Q7XynftpXh",Tue Nov 26 13:17:58 +0000 2019
lisburn,Conservative-Party,,RT @GaryHynds: We are Stronger Together. This is a fundamental principle upon which the Conservative and Unionist Party operate within Nort…,Tue Nov 26 13:03:33 +0000 2019
lisburn,Conservative-Party,,RT @GaryHynds: We are Stronger Together. This is a fundamental principle upon which the Conservative and Unionist Party operate within Nort…,Tue Nov 26 13:02:13 +0000 2019
lisburn,Conservative-Party,,We are Stronger Together. This is a fundamental principle upon which the Conservative and Unionist Party operate wi… https://t.co/hN0JQaSwaU,Tue Nov 26 12:54:43 +0000 2019
lisburn,Conservative-Party,,RT @StripeyMiata: @dli_odoir @PaulTyredagh81 @LynneCampbell5 Always thought it was weird that the Conservative Party could run candidates h…,Mon Nov 25 15:27:20 +0000 2019
lisburn,Conservative-Party,,@dli_odoir @PaulTyredagh81 @LynneCampbell5 Always thought it was weird that the Conservative Party could run candid… https://t.co/16KXM43zGX,Mon Nov 25 15:26:53 +0000 2019
lisburn,Conservative-Party,,"@RandomPersonLiv I would definitely consider it, I tend to vote for the person as well as party, but as a working c… https://t.co/TnbFPIQUOs",Sun Nov 24 15:44:38 +0000 2019
lisburn,Conservative-Party,,RT @GaryHynds: The crisis in our health service is a legacy of Stormont and the local parties. This is why I am in the Conservative Party -…,Fri Nov 22 18:45:42 +0000 2019
lisburn,Conservative-Party,,@BrexitDoyin @damianham @Conservatives Tactical Voting means who has the best chance of Beating the sitting M.P whe… https://t.co/Y7BriREaMl,Fri Nov 22 06:24:16 +0000 2019
lisburn,Conservative-Party,,@StevieBrexit @MikeHillMP Vote Conservative/TBP just kick Terrorist Loving Marxist Corbyns Labour Party OUT,Thu Nov 21 22:15:41 +0000 2019
lisburn,Conservative-Party,,RT @GaryHynds: The crisis in our health service is a legacy of Stormont and the local parties. This is why I am in the Conservative Party -…,Wed Nov 20 21:07:30 +0000 2019
lisburn,Conservative-Party,,RT @GaryHynds: The crisis in our health service is a legacy of Stormont and the local parties. This is why I am in the Conservative Party -…,Wed Nov 20 20:50:15 +0000 2019
lisburn,Conservative-Party,,RT @GaryHynds: The crisis in our health service is a legacy of Stormont and the local parties. This is why I am in the Conservative Party -…,Wed Nov 20 19:38:55 +0000 2019
lisburn,Conservative-Party,,The crisis in our health service is a legacy of Stormont and the local parties. This is why I am in the Conservativ… https://t.co/PRlctYERpY,Wed Nov 20 19:34:33 +0000 2019
lisburn,Labour-Party,,@BeattieDoug @SecretVictoryNI SF/IRA's Army Council spouting for years about Collusion(Fake News)is identical to SF… https://t.co/1PreP9VDsQ,Thu Nov 28 16:30:35 +0000 2019
lisburn,Labour-Party,,Boris Johnson &amp; the Tories are set to win sweeping 68-seat majority in election - as polling model that predicted 2… https://t.co/hV9D9xOqx4,Wed Nov 27 23:15:12 +0000 2019
lisburn,Labour-Party,,@scottygfc The manifesto has been costed by favourable people close to the labour party. Many other economic expert… https://t.co/qmHiv26e4h,Tue Nov 26 22:10:49 +0000 2019
lisburn,Labour-Party,,@UKLabour The Lies and Deceit just keeps rolling out of Corbyns Marxist Labour Party.,Sun Nov 24 18:52:33 +0000 2019
lisburn,Labour-Party,,"@RandomPersonLiv I would definitely consider it, I tend to vote for the person as well as party, but as a working c… https://t.co/TnbFPIQUOs",Sun Nov 24 15:44:38 +0000 2019
lisburn,Labour-Party,,"@RandomPersonLiv Sure, happy to tell you, but first do you do much about the partys/systems in Northern Ireland?  B… https://t.co/9yzuxy4yhk",Sun Nov 24 11:12:34 +0000 2019
lisburn,Labour-Party,,"@ScotTories The Once Proud Labour Party of Atlee, Bevan, Wilson is Long Dead.
Corbyns terrorist Loving Marxist Part… https://t.co/9MlMzmCXzY",Sun Nov 24 10:47:40 +0000 2019
lisburn,Labour-Party,,"@GoodwinMJ @StevieBrexit The British Patriots need to wipe out Corbyns Marxist Labour Party.
Corbyn the Millionaire… https://t.co/SaXNCmQoBr",Sun Nov 24 10:25:15 +0000 2019
lisburn,Labour-Party,,"@JAGKEV @DickFbpe @MailOnline Typical of the Hypocrites of the So called Labour &amp; Trade Union Movement.
Ask Comrade… https://t.co/O4hAvysHCJ",Sun Nov 24 09:55:19 +0000 2019
lisburn,Labour-Party,,"@77Pnk @derry_milk The World is so much Better,
Because of.
President Donald Trump.
The British.
Boris Johnson
Nige… https://t.co/B9XbqlLFAp",Sat Nov 23 22:20:56 +0000 2019
lisburn,Labour-Party,,"@Birdybabe07 The Momentum Irish Republicans, Marxists &amp; extreme Islamists who have ganged up &amp; Hijacked the once Pr… https://t.co/iwfGll4N4i",Sat Nov 23 09:29:25 +0000 2019
lisburn,Labour-Party,,"@Fyrishsunset SF/IRA
Corbyns Marxist Labour Party
The Nationalists of the SNP
The Nationalists Welsh dudes.
A Famil… https://t.co/1oXeeqh0yU",Sat Nov 23 01:23:55 +0000 2019
lisburn,Labour-Party,,@ceadog @Macetrain @beryl1946 The Liberal London Luvvies and the Marxists Haters of Corbyns Marxist Labour Party ar… https://t.co/kOoMuuHQ94,Sat Nov 23 01:16:11 +0000 2019
lisburn,Labour-Party,,"@OutragedMary Absolutely spot on.
Marxist Corbyn has been a supposed Labour M.P since about 1983, before he became… https://t.co/naDuHTs4f4",Sat Nov 23 00:13:34 +0000 2019
lisburn,Labour-Party,,@StevieBrexit @MikeHillMP Vote Conservative/TBP just kick Terrorist Loving Marxist Corbyns Labour Party OUT,Thu Nov 21 22:15:41 +0000 2019
lisburn,Labour-Party,,@DarrenPlymouth @StevieBrexit The Doll in the glasses is a member of Corbyns Marxist Labour Party,Thu Nov 21 19:12:27 +0000 2019
lisburn,Labour-Party,,"@AlanHJamieson1 @junemcallister3 The Nationalists of the SNP like the Nationalists of SF/IRA, Corbyns Marxist Labou… https://t.co/BquR7oFP8K",Thu Nov 21 15:49:29 +0000 2019
lisburn,Labour-Party,,This is the document that fully costs the Labour Party Manifesto https://t.co/AtAVHpOqHk,Thu Nov 21 14:29:52 +0000 2019
lisburn,Labour-Party,,"@hannah1_rose @exon384 @Telegraph Corbyns Marxist Labour Party love those who Hate Israel &amp; The United Kingdom.
SF/IRA
Hamas
Hezbollah
Iran",Thu Nov 21 08:52:43 +0000 2019
lisburn,Labour-Party,,@zero_to_here_oh @damianham Hold your nose and Vote for whoever can beat Corbyns Marxist Labour Party/SNP/Welsh Nat… https://t.co/7ZrxsPnvwy,Thu Nov 21 08:46:37 +0000 2019
lisburn,,Jeremy-Corbyn,BBC News - Gerry Adams backs Jeremy Corbyn as next Prime Minister https://t.co/adBDAgrOf2,Fri Nov 29 00:00:00 +0000 2019
lisburn,,Jeremy-Corbyn,Boris Johnson &amp; the Tories are set to win sweeping 68-seat majority in election - as polling model that predicted 2… https://t.co/hV9D9xOqx4,Wed Nov 27 23:15:12 +0000 2019
lisburn,,Jeremy-Corbyn,"@petersingh206 The Israel, Jew Hating, H.M Armed Forces Hater, United Kingdom Detester.
The one and only useless ne… https://t.co/9Dfik9pFdo",Sun Nov 24 01:03:52 +0000 2019
lisburn,,Boris-Johnson,Boris Johnson &amp; the Tories are set to win sweeping 68-seat majority in election - as polling model that predicted 2… https://t.co/hV9D9xOqx4,Wed Nov 27 23:15:12 +0000 2019
lisburn,,Boris-Johnson,"Til, bbc politics are terrible because they shared a video of Boris Johnson making a dick of himself eating a scone",Wed Nov 27 21:51:48 +0000 2019
lisburn,,Boris-Johnson,"RT @OfArthurshire: Boris Johnson is Hansie Cronje: corrupt because he can be, not because he’s compelled to be; it’s a power trip above all…",Wed Nov 27 15:11:52 +0000 2019
lisburn,,Boris-Johnson,"Boris Johnson is Hansie Cronje: corrupt because he can be, not because he’s compelled to be; it’s a power trip abov… https://t.co/GsUtBIUD2e",Wed Nov 27 12:02:49 +0000 2019
lisburn,,Boris-Johnson,"@RuthDavidsonMSP @afneil Absolutely.

And it’s nothing next to the doing that Boris Johnson will get, if he shows up.",Tue Nov 26 06:56:45 +0000 2019
lisburn,,Boris-Johnson,"@77Pnk @derry_milk The World is so much Better,
Because of.
President Donald Trump.
The British.
Boris Johnson
Nige… https://t.co/B9XbqlLFAp",Sat Nov 23 22:20:56 +0000 2019
lisburn,,Boris-Johnson,"RT @frodobiggins82: Boris Johnson won't ""sell off"" the NHS because of the ridicule and his promise not to, however I'm pretty sure when pol…",Sat Nov 23 21:21:50 +0000 2019
lisburn,,Boris-Johnson,"Boris Johnson won't ""sell off"" the NHS because of the ridicule and his promise not to, however I'm pretty sure when… https://t.co/oq2AkSFaPb",Sat Nov 23 17:10:51 +0000 2019
lisburn,,Boris-Johnson,@666LukeyB @RabHutchison @BorisJohnson Boris Johnson is being treated the way President Trump has been attacked by… https://t.co/HJzh8hLVtx,Sat Nov 23 10:06:16 +0000 2019
