city,party,leader,tweet,tweet_time
lisburn,,Boris-Johnson,"RT @BrianDavidHigg1: The following is a
Statement issued by the Mid Ulster Concerned Unionist Movement following last night's meeting in Ca…",Thu Nov 21 17:43:52 +0000 2019
lisburn,,Boris-Johnson,"RT @BrianDavidHigg1: The following is a
Statement issued by the Mid Ulster Concerned Unionist Movement following last night's meeting in Ca…",Thu Nov 21 11:14:17 +0000 2019
lisburn,,Boris-Johnson,"RT @BrianDavidHigg1: The following is a
Statement issued by the Mid Ulster Concerned Unionist Movement following last night's meeting in Ca…",Thu Nov 21 11:03:56 +0000 2019
lisburn,,Boris-Johnson,"The following is a
Statement issued by the Mid Ulster Concerned Unionist Movement following last night's meeting in… https://t.co/WeyomZrCM6",Thu Nov 21 11:01:13 +0000 2019
lisburn,,Jeremy-Corbyn,Chip shop staff still stuck at work 20 hours after asking Jeremy Corbyn if he wants salt and vinegar… https://t.co/fbG8i6Xxsm,Tue Nov 19 17:13:41 +0000 2019
lisburn,,Jeremy-Corbyn,Jeremy Corbyn hints he wants united Ireland as he celebrates ‘growing integration’ @Daily_Express… https://t.co/Fyu6zPh3cc,Sun Nov 17 21:20:35 +0000 2019
lisburn,,Jeremy-Corbyn,RT @GanglSepp: Jeremy Corbyn has such a positive attitude for someone working his month's notice...,Sat Nov 16 20:42:26 +0000 2019
lisburn,,Jeremy-Corbyn,Jeremy Corbyn has such a positive attitude for someone working his month's notice...,Sat Nov 16 20:14:39 +0000 2019
lisburn,,Jo-Swinson,@GiftCee @joswinson @LibDems Ho chi min Jo Jo Swinson is a Secret IRA Loving Nationalist who is worse than Wee Jimmy Sturgeon.,Mon Nov 18 09:00:11 +0000 2019
lisburn,,Nigel-Farage,@Nigel_Farage True,Mon Nov 18 13:32:01 +0000 2019
lisburn,Brexit-Party,,@columeastwood is 100% right and something I've tweeted @naomi_long about this election isn't about the party it's… https://t.co/gfw8Eqbs8P,Thu Nov 21 23:41:16 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Thu Nov 21 01:23:22 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Thu Nov 21 00:31:49 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 23:26:04 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 18:13:16 +0000 2019
lisburn,Brexit-Party,,@MoggMentum Would rather take my chances with the Brexit party than vote for a surrender treaty from the Tories! Teresa the appeaser anyone?,Wed Nov 20 17:47:31 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 16:56:43 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 16:09:48 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 15:50:10 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 15:47:17 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 15:46:11 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 14:44:48 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 14:34:33 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 14:31:33 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 12:25:52 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 10:52:55 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 10:50:40 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 10:39:01 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 10:27:54 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 10:22:48 +0000 2019
lisburn,Brexit-Party,,"RT @SorchaEastwood: Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP to p…",Wed Nov 20 10:19:21 +0000 2019
lisburn,Brexit-Party,,"Mr Donaldson can be as emollient as he likes, but it's too late- the people have seen the repeated failures of DUP… https://t.co/0yW1uxqRBI",Wed Nov 20 10:17:40 +0000 2019
lisburn,Brexit-Party,,"I don't do politics, but when I see the words election, debate, Brexit etc I just wish screaming Lord Sutch and his… https://t.co/zfPBpxd51E",Tue Nov 19 19:46:43 +0000 2019
lisburn,Brexit-Party,,@BorisJohnson's tories offering jobs and positions within government in return for brexit party candidates standing… https://t.co/YNwURNQTJa,Sun Nov 17 10:48:12 +0000 2019
lisburn,Conservative-Party,,@StevieBrexit @MikeHillMP Vote Conservative/TBP just kick Terrorist Loving Marxist Corbyns Labour Party OUT,Thu Nov 21 22:15:41 +0000 2019
lisburn,Conservative-Party,,RT @GaryHynds: The crisis in our health service is a legacy of Stormont and the local parties. This is why I am in the Conservative Party -…,Wed Nov 20 21:07:30 +0000 2019
lisburn,Conservative-Party,,RT @GaryHynds: The crisis in our health service is a legacy of Stormont and the local parties. This is why I am in the Conservative Party -…,Wed Nov 20 20:50:15 +0000 2019
lisburn,Conservative-Party,,RT @GaryHynds: The crisis in our health service is a legacy of Stormont and the local parties. This is why I am in the Conservative Party -…,Wed Nov 20 19:38:55 +0000 2019
lisburn,Conservative-Party,,The crisis in our health service is a legacy of Stormont and the local parties. This is why I am in the Conservativ… https://t.co/PRlctYERpY,Wed Nov 20 19:34:33 +0000 2019
lisburn,Conservative-Party,,"@DavidBr88082531 The Lefties in the studio would clap if Corbyn farts, The momentum Thugs aren't Happy, Corbyn😂😂😂is… https://t.co/e5kcmb5s7Z",Tue Nov 19 20:50:41 +0000 2019
lisburn,Conservative-Party,,"The energy cap was, of course, 'marxism'. Until Theresa may adopted it as Conservative party policy. https://t.co/wJmuLBy7ZM",Fri Nov 15 20:45:03 +0000 2019
lisburn,Conservative-Party,,"@Ginger_Ollie Conservative &amp; Unionist Party is the full name, it is starting to be used more and more in recent years, which is just right.",Fri Nov 15 13:36:29 +0000 2019
lisburn,Conservative-Party,,This is the shit that truly matters to people's lives. I mean.... Fuck me. So what if the UUP *did* run a former ps… https://t.co/inxFqIULGg,Thu Nov 14 23:06:22 +0000 2019
lisburn,Labour-Party,,@StevieBrexit @MikeHillMP Vote Conservative/TBP just kick Terrorist Loving Marxist Corbyns Labour Party OUT,Thu Nov 21 22:15:41 +0000 2019
lisburn,Labour-Party,,@DarrenPlymouth @StevieBrexit The Doll in the glasses is a member of Corbyns Marxist Labour Party,Thu Nov 21 19:12:27 +0000 2019
lisburn,Labour-Party,,"@AlanHJamieson1 @junemcallister3 The Nationalists of the SNP like the Nationalists of SF/IRA, Corbyns Marxist Labou… https://t.co/BquR7oFP8K",Thu Nov 21 15:49:29 +0000 2019
lisburn,Labour-Party,,This is the document that fully costs the Labour Party Manifesto https://t.co/AtAVHpOqHk,Thu Nov 21 14:29:52 +0000 2019
lisburn,Labour-Party,,"@hannah1_rose @exon384 @Telegraph Corbyns Marxist Labour Party love those who Hate Israel &amp; The United Kingdom.
SF/IRA
Hamas
Hezbollah
Iran",Thu Nov 21 08:52:43 +0000 2019
lisburn,Labour-Party,,@zero_to_here_oh @damianham Hold your nose and Vote for whoever can beat Corbyns Marxist Labour Party/SNP/Welsh Nat… https://t.co/7ZrxsPnvwy,Thu Nov 21 08:46:37 +0000 2019
lisburn,Labour-Party,,"@carsonsarmy_NS @AATG57 Corbyns Marxist Labour Party and Sturgeons IRA loving Nationalists of the SNP Hate, Absolut… https://t.co/1NsktG5sM3",Tue Nov 19 10:15:08 +0000 2019
lisburn,Labour-Party,,"@UKLabour I would not believe a word Terrorist Loving Marxist Corbyn said.
The Labour Party is Dead Because, 
Marxi… https://t.co/3OMUKrXpDM",Tue Nov 19 10:09:24 +0000 2019
lisburn,Labour-Party,,"@UKLabour 😂😂😂😂😂😂Corbyns Marxist so called Labour Party with their Sectarian, Racist IRA Loving backroom staffers wa… https://t.co/7SzWdNwzlO",Mon Nov 18 09:04:15 +0000 2019
lisburn,Labour-Party,,RT @GaryHynds: The Labour Party 2019 https://t.co/Pb2c5ISBTM,Sun Nov 17 05:51:59 +0000 2019
lisburn,Labour-Party,,"RT @BrianDavidHigg1: @BelTel @JamieBrysonCPNI Kate Hoey former Labour MP stated....

I'm pro-union. I would not dream of voting for Sinn Fe…",Thu Nov 14 07:07:53 +0000 2019
lisburn,Labour-Party,,"RT @BrianDavidHigg1: @CatharineHoey  former Labour MP stated....

I'm pro-union. I would not dream of voting for Sinn Fein, I wouldn't drea…",Thu Nov 14 06:41:37 +0000 2019
lisburn,Labour-Party,,"RT @BrianDavidHigg1: @CatharineHoey  former Labour MP stated....

I'm pro-union. I would not dream of voting for Sinn Fein, I wouldn't drea…",Thu Nov 14 00:44:48 +0000 2019
lisburn,Labour-Party,,"RT @BrianDavidHigg1: @BelTel @JamieBrysonCPNI Kate Hoey former Labour MP stated....

I'm pro-union. I would not dream of voting for Sinn Fe…",Wed Nov 13 23:52:56 +0000 2019
lisburn,Labour-Party,,"@BelTel @JamieBrysonCPNI Kate Hoey former Labour MP stated....

I'm pro-union. I would not dream of voting for Sinn… https://t.co/exbA0mXTPs",Wed Nov 13 23:41:21 +0000 2019
lisburn,Labour-Party,,"@LBC @JamieBrysonCPNI @IainDale @CatharineHoey Kate Hoey former Labour MP stated....

I'm pro-union. I would not dr… https://t.co/C78SDTIBDl",Wed Nov 13 23:41:09 +0000 2019
lisburn,Labour-Party,,"RT @BrianDavidHigg1: @CatharineHoey  former Labour MP stated....

I'm pro-union. I would not dream of voting for Sinn Fein, I wouldn't drea…",Wed Nov 13 23:40:22 +0000 2019
lisburn,Labour-Party,,"RT @BrianDavidHigg1: @CatharineHoey  former Labour MP stated....

I'm pro-union. I would not dream of voting for Sinn Fein, I wouldn't drea…",Wed Nov 13 23:39:44 +0000 2019
lisburn,Labour-Party,,"RT @BrianDavidHigg1: @CatharineHoey  former Labour MP stated....

I'm pro-union. I would not dream of voting for Sinn Fein, I wouldn't drea…",Wed Nov 13 23:36:47 +0000 2019
lisburn,Labour-Party,,"@CatharineHoey  former Labour MP stated....

I'm pro-union. I would not dream of voting for Sinn Fein, I wouldn't d… https://t.co/K8PpeORuIM",Wed Nov 13 23:36:22 +0000 2019
lisburn,Labour-Party,,"@mrjamesob Will he be expelled, in the same way as @campbellclaret was ousted from the Labour Party?",Wed Nov 13 17:34:08 +0000 2019
